geometry,POINT_ID,X_IM,Y_IM,X_MAP,Y_MAP,REF_BADDATA,TGT_BADDATA,X_WIN_SIZE,Y_WIN_SIZE,X_SHIFT_PX,Y_SHIFT_PX,X_SHIFT_M,Y_SHIFT_M,ABS_SHIFT,ANGLE,SSIM_BEFORE,SSIM_AFTER,SSIM_IMPROVED,RELIABILITY,LAST_ERR,WARNINGS,L1_OUTLIER,L2_OUTLIER,L3_OUTLIER,OUTLIER,shift_px,ncc_before,ncc_after,ncc_verified
POINT (82.01888671478285 39.514182744691354),864,1792,256,82.01888671478285,39.514182744691354,False,False,64.0,64.0,0.22108162939548492,0.2674456238746643,0.0022125244140625,-0.002674102783203125,0.0034707477316260338,320.42144775390625,0.13423499522724996,0.13985952435633087,True,0.0,-9999,[],False,False,False,False,0.3469931535144043,0.6024960279464722,0.6024960279464722,True
POINT (72.41888671478286 39.19418274469135),935,832,288,72.41888671478286,39.19418274469135,False,False,64.0,64.0,-0.31474992632865906,-0.1830623894929886,-0.00315093994140625,0.0018310546875,0.0036443357821553946,120.18281555175781,0.013481915968611187,0.018271505433014142,True,0.0,-9999,[],False,False,False,False,0.36411448003447894,0.16399350762367249,0.16399350762367249,True
POINT (73.69888671478284 39.19418274469135),939,960,288,73.69888671478284,39.19418274469135,False,False,64.0,64.0,0.2950635552406311,-0.14321747422218323,0.00295257568359375,0.001430511474609375,0.003280863631516695,244.10906982421875,0.14389834833356674,0.14751860083834265,True,0.0,-9999,[],False,False,False,False,0.3279843693742473,0.11926041543483734,0.11926041543483734,True
POINT (74.33888671478286 39.19418274469135),941,1024,288,74.33888671478286,39.19418274469135,False,False,64.0,64.0,-0.25175023078918457,-0.41292938590049744,-0.0025177001953125,0.00412750244140625,0.004834779072552919,148.63063049316406,0.0822051620423399,0.08656461938330712,True,0.0,-9999,[],False,False,False,False,0.4836205707396757,0.059469666332006454,0.059469666332006454,True
POINT (78.17888671478285 39.19418274469135),953,1408,288,78.17888671478285,39.19418274469135,False,False,64.0,64.0,0.2473209947347641,-0.3691251873970032,0.0024732099473538938,0.0036912518739669054,0.00444320918264653,213.822847887321,0.13962595657118132,0.14534036699064024,True,0.0,-9999,[],False,False,False,False,0.44432091826456466,0.3573993146419525,0.3573993146419525,True
POINT (80.09888671478285 39.19418274469135),959,1600,288,80.09888671478285,39.19418274469135,False,False,64.0,64.0,0.4120819866657257,0.3198387920856476,0.004120819866656689,-0.003198387920853918,0.0052164012178605185,307.81694449572586,0.06666237878269651,0.0700888730751754,True,15.400084356117247,-9999,[],False,False,False,False,0.5216401217862535,-0.3162343502044678,-0.3162343502044678,True
POINT (76.25888671478285 38.87418274469135),1048,1216,320,76.25888671478285,38.87418274469135,False,False,64.0,64.0,0.34735414385795593,12.381559878587723,0.003473541438580696,-0.12381559878587467,0.12386431282992784,358.39303707081825,0.05735208510241612,0.060838123462683955,True,0.0,-9999,[],False,False,False,False,12.386431282993037,0.12984421849250793,0.1832505464553833,True
POINT (77.53888671478285 38.87418274469135),1052,1344,320,77.53888671478285,38.87418274469135,False,False,64.0,64.0,-0.2237696498632431,-0.38796818256378174,-0.00223541259765625,0.003879547119140625,0.0044774943962693214,150.02481079101562,0.10049191033366892,0.10593118485215945,True,0.0,-9999,[],False,False,False,False,0.44787516886043405,-0.10786177217960358,-0.10786177217960358,True
POINT (79.45888671478285 38.87418274469135),1058,1536,320,79.45888671478285,38.87418274469135,False,False,64.0,64.0,7.768400326371193,-0.3299819529056549,0.0776840032637125,0.0032998195290545596,0.07775405566271655,267.567682733419,0.2819012584818163,0.2970689960646591,True,0.0,-9999,[],False,False,False,False,7.775405566271607,0.39764082431793213,0.43892738223075867,True
POINT (84.89888671478286 38.87418274469135),1075,2080,320,84.89888671478286,38.87418274469135,False,False,64.0,64.0,-0.35409367084503174,-10.269400417804718,-0.0035409367084469068,0.10269400417804775,0.10275503261103135,178.02519741965537,0.06299639250286651,0.11932727275010556,True,0.0,-9999,[],False,False,False,False,10.27550326110309,0.10380113124847412,0.21211715042591095,True
