geometry,POINT_ID,X_IM,Y_IM,X_MAP,Y_MAP,REF_BADDATA,TGT_BADDATA,X_WIN_SIZE,Y_WIN_SIZE,X_SHIFT_PX,Y_SHIFT_PX,X_SHIFT_M,Y_SHIFT_M,ABS_SHIFT,ANGLE,SSIM_BEFORE,SSIM_AFTER,SSIM_IMPROVED,RELIABILITY,LAST_ERR,WARNINGS,L1_OUTLIER,L2_OUTLIER,L3_OUTLIER,OUTLIER
POINT (92.72154734447214 31.899340213422988),861,2880,1024,92.72154734447214,31.899340213422988,False,False,226.0,226.0,0.1700787991285324,0.22607597708702087,0.00170135498046875,-0.002262115478515625,0.00283050793223083,323.0455627441406,0.10728044836485115,0.10860550649761634,True,0.0,-9999,[],True,False,False,True
POINT (93.35765327621758 31.899340213422988),862,2944,1024,93.35765327621758,31.899340213422988,False,False,132.0,132.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (93.99375920796302 31.899340213422988),863,3008,1024,93.99375920796302,31.899340213422988,False,False,100.0,100.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (70.45783973338165 31.263234281677544),877,640,1088,70.45783973338165,31.263234281677544,False,False,100.0,100.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (71.09394566512708 31.263234281677544),878,704,1088,71.09394566512708,31.263234281677544,False,False,158.0,158.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (71.73005159687253 31.263234281677544),879,768,1088,71.73005159687253,31.263234281677544,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (72.36615752861798 31.263234281677544),880,832,1088,72.36615752861798,31.263234281677544,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (73.00226346036341 31.263234281677544),881,896,1088,73.00226346036341,31.263234281677544,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (73.63836939210886 31.263234281677544),882,960,1088,73.63836939210886,31.263234281677544,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (74.2744753238543 31.263234281677544),883,1024,1088,74.2744753238543,31.263234281677544,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (74.91058125559974 31.263234281677544),884,1088,1088,74.91058125559974,31.263234281677544,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (75.54668718734519 31.263234281677544),885,1152,1088,75.54668718734519,31.263234281677544,False,False,256.0,256.0,0.24068164825439453,-0.2964913547039032,0.00240325927734375,0.002964019775390625,0.0038158968091011047,219.0685272216797,0.39195488489098823,0.38482337131766614,False,24.76941908626206,-9999,[],False,True,False,True
POINT (76.18279311909063 31.263234281677544),886,1216,1088,76.18279311909063,31.263234281677544,False,False,256.0,256.0,0.2430464625359065,0.4537357985974261,0.0024304646253625606,-0.004537357985974211,0.005147307625159266,331.82398912695163,0.2898149772118381,0.2886212285443796,False,53.30505467582252,-9999,[],False,True,False,True
POINT (76.81889905083607 31.263234281677544),887,1280,1088,76.81889905083607,31.263234281677544,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (77.45500498258151 31.263234281677544),888,1344,1088,77.45500498258151,31.263234281677544,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (78.09111091432696 31.263234281677544),889,1408,1088,78.09111091432696,31.263234281677544,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,The matching window became too small for calculating a reliable match. Matching failed.,[],-9999,-9999,-9999,-9999
POINT (78.7272168460724 31.263234281677544),890,1472,1088,78.7272168460724,31.263234281677544,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (79.36332277781784 31.263234281677544),891,1536,1088,79.36332277781784,31.263234281677544,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (79.99942870956329 31.263234281677544),892,1600,1088,79.99942870956329,31.263234281677544,False,False,256.0,256.0,-0.19170121848583221,-0.3614165782928467,-0.00191497802734375,0.003612518310546875,0.004088695161044598,152.05780029296875,0.10134428280739484,0.10249894687047062,True,30.77169981151239,-9999,[],False,False,False,False
POINT (80.63553464130872 31.263234281677544),893,1664,1088,80.63553464130872,31.263234281677544,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (81.27164057305417 31.263234281677544),894,1728,1088,81.27164057305417,31.263234281677544,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (81.9077465047996 31.263234281677544),895,1792,1088,81.9077465047996,31.263234281677544,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (82.54385243654505 31.263234281677544),896,1856,1088,82.54385243654505,31.263234281677544,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (83.1799583682905 31.263234281677544),897,1920,1088,83.1799583682905,31.263234281677544,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (83.81606430003595 31.263234281677544),898,1984,1088,83.81606430003595,31.263234281677544,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (84.45217023178138 31.263234281677544),899,2048,1088,84.45217023178138,31.263234281677544,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (85.08827616352683 31.263234281677544),900,2112,1088,85.08827616352683,31.263234281677544,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (85.72438209527226 31.263234281677544),901,2176,1088,85.72438209527226,31.263234281677544,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (86.36048802701771 31.263234281677544),902,2240,1088,86.36048802701771,31.263234281677544,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (86.99659395876316 31.263234281677544),903,2304,1088,86.99659395876316,31.263234281677544,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (87.6326998905086 31.263234281677544),904,2368,1088,87.6326998905086,31.263234281677544,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (88.26880582225404 31.263234281677544),905,2432,1088,88.26880582225404,31.263234281677544,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (88.90491175399949 31.263234281677544),906,2496,1088,88.90491175399949,31.263234281677544,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (89.54101768574492 31.263234281677544),907,2560,1088,89.54101768574492,31.263234281677544,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (90.17712361749037 31.263234281677544),908,2624,1088,90.17712361749037,31.263234281677544,False,False,256.0,256.0,0.12550203502178192,-0.4610108435153961,0.001251220703125,0.004611968994140625,0.004778683185577393,195.2287139892578,0.12954934417168662,0.13232716312409912,True,5.4515978233348505,-9999,[],True,False,False,True
POINT (90.81322954923581 31.263234281677544),909,2688,1088,90.81322954923581,31.263234281677544,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (91.44933548098126 31.263234281677544),910,2752,1088,91.44933548098126,31.263234281677544,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (92.0854414127267 31.263234281677544),911,2816,1088,92.0854414127267,31.263234281677544,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (92.72154734447214 31.263234281677544),912,2880,1088,92.72154734447214,31.263234281677544,False,False,194.0,194.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (93.35765327621758 31.263234281677544),913,2944,1088,93.35765327621758,31.263234281677544,False,False,100.0,100.0,27.25606840849465,-24.325321704154085,0.272560684084894,0.2432532170414916,0.3653237661443071,228.25192999146134,0.03470945051886424,0.001607048381944195,False,0.0,-9999,[],True,True,False,True
POINT (93.99375920796302 31.263234281677544),914,3008,1088,93.99375920796302,31.263234281677544,False,False,100.0,100.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (70.45783973338165 30.6271283499321),928,640,1152,70.45783973338165,30.6271283499321,False,False,100.0,100.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (71.09394566512708 30.6271283499321),929,704,1152,71.09394566512708,30.6271283499321,False,False,178.0,178.0,-0.2920435965061769,0.4444815814495971,-0.0029204359650663037,-0.004444815814494518,0.005318395796744853,33.30664243355036,0.13609447378245834,0.136456603957444,True,17.751571631264156,-9999,[],True,False,False,True
POINT (71.73005159687253 30.6271283499321),930,768,1152,71.73005159687253,30.6271283499321,False,False,256.0,256.0,-0.23443332314495935,-0.10111027956010923,-0.0023443332314485588,0.0010111027956014595,0.0025530818951508645,113.33036910238306,0.17385640818464057,0.1734157570871345,False,0.0,-9999,[],True,True,False,True
POINT (72.36615752861798 30.6271283499321),931,832,1152,72.36615752861798,30.6271283499321,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (73.00226346036341 30.6271283499321),932,896,1152,73.00226346036341,30.6271283499321,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (73.63836939210886 30.6271283499321),933,960,1152,73.63836939210886,30.6271283499321,False,False,256.0,256.0,0.307273805141449,0.23436075448989868,0.00307464599609375,-0.00234222412109375,0.003865160048007965,307.3331298828125,0.2713623031598775,0.27226752412692057,True,0.0,-9999,[],True,False,False,True
POINT (74.2744753238543 30.6271283499321),934,1024,1152,74.2744753238543,30.6271283499321,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (74.91058125559974 30.6271283499321),935,1088,1152,74.91058125559974,30.6271283499321,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (75.54668718734519 30.6271283499321),936,1152,1152,75.54668718734519,30.6271283499321,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (76.18279311909063 30.6271283499321),937,1216,1152,76.18279311909063,30.6271283499321,False,False,256.0,256.0,0.13548122346401215,-0.4496149718761444,0.0013580322265625,0.004497528076171875,0.0046980855986475945,196.7689971923828,0.404122232690215,0.40723185562945574,True,14.311010817910244,-9999,[],True,False,False,True
POINT (76.81889905083607 30.6271283499321),938,1280,1152,76.81889905083607,30.6271283499321,False,False,256.0,256.0,0.2796017825603485,-0.2701372504234314,0.0027923583984375,0.0027008056640625,0.0038847930263727903,225.98634338378906,0.33259951944456834,0.3261505708282021,False,10.555741988078864,-9999,[],True,True,False,True
POINT (77.45500498258151 30.6271283499321),939,1344,1152,77.45500498258151,30.6271283499321,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (78.09111091432696 30.6271283499321),940,1408,1152,78.09111091432696,30.6271283499321,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (78.7272168460724 30.6271283499321),941,1472,1152,78.7272168460724,30.6271283499321,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999,-9999,-9999
POINT (79.36332277781784 30.6271283499321),942,1536,1152,79.36332277781784,30.6271283499321,False,False,256.0,256.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,The matching window became too small for calculating a reliable match. Matching failed.,[],-9999,-9999,-9999,-9999
