geometry,POINT_ID,X_IM,Y_IM,X_MAP,Y_MAP,REF_BADDATA,TGT_BADDATA,X_WIN_SIZE,Y_WIN_SIZE,X_SHIFT_PX,Y_SHIFT_PX,X_SHIFT_M,Y_SHIFT_M,ABS_SHIFT,ANGLE,SSIM_BEFORE,SSIM_AFTER,SSIM_IMPROVED,RELIABILITY,LAST_ERR,WARNINGS,L1_OUTLIER,OUTLIER
POINT (79.04526981194512 40.804823257859184),451,1504,128,79.04526981194512,40.804823257859184,False,False,100.0,100.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (79.36332277781784 40.804823257859184),452,1536,128,79.36332277781784,40.804823257859184,False,False,100.0,100.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (79.68137574369057 40.804823257859184),453,1568,128,79.68137574369057,40.804823257859184,False,False,100.0,100.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (79.99942870956329 40.804823257859184),454,1600,128,79.99942870956329,40.804823257859184,False,False,100.0,100.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (80.317481675436 40.804823257859184),455,1632,128,80.317481675436,40.804823257859184,False,False,100.0,100.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (80.63553464130872 40.804823257859184),456,1664,128,80.63553464130872,40.804823257859184,False,False,100.0,100.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (80.95358760718145 40.804823257859184),457,1696,128,80.95358760718145,40.804823257859184,False,False,100.0,100.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (72.36615752861798 40.48677029198647),531,832,160,72.36615752861798,40.48677029198647,False,False,100.0,100.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (72.68421049449069 40.48677029198647),532,864,160,72.68421049449069,40.48677029198647,False,False,100.0,100.0,-0.05214827135206306,-5.731084764004894,-0.0005214827135233691,0.05731084764003924,0.05731322012799748,179.4786687819638,0.0945620552268607,0.1093285044595989,True,0.0,-9999,[],True,True
POINT (73.00226346036341 40.48677029198647),533,896,160,73.00226346036341,40.48677029198647,False,False,128.0,128.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (73.32031642623613 40.48677029198647),534,928,160,73.32031642623613,40.48677029198647,False,False,128.0,128.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (73.63836939210886 40.48677029198647),535,960,160,73.63836939210886,40.48677029198647,False,False,128.0,128.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,The matching window became too small for calculating a reliable match. Matching failed.,[],-9999,-9999
POINT (73.95642235798158 40.48677029198647),536,992,160,73.95642235798158,40.48677029198647,False,False,128.0,128.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,[],-9999,-9999
POINT (74.2744753238543 40.48677029198647),537,1024,160,74.2744753238543,40.48677029198647,False,False,128.0,128.0,-0.39426252245903015,0.3498249351978302,-0.00394439697265625,-0.003498077392578125,0.0052720787934958935,48.41769790649414,0.060506111764781226,0.06210566668967417,True,0.0,-9999,[],True,True
